peopleAhead,activeCounters,hour,dayOfWeek,queueLength,eta
15,2,13,5,21,46.28588472333752
32,1,20,3,36,130.9279764757595
8,4,11,5,18,16.047895356480016
5,1,13,5,6,32.68496441925129
15,5,18,0,19,25.978327782723863
28,2,9,3,40,58.47335135828744
2,2,17,5,8,13.735692404555564
19,4,12,5,29,35.84330028525298
35,4,20,5,42,49.88677444758911
18,4,20,2,28,27.41242595703701
25,2,9,0,36,59.076180872575954
2,5,15,2,9,4.794239334881782
18,2,20,3,23,38.15665178330511
19,4,19,2,22,34.90281476795538
31,3,16,3,37,54.49610375063289
6,5,15,0,19,7.442845884042262
40,2,8,6,46,74.25772662899294
32,3,12,2,40,54.97317873214252
39,5,19,3,44,57.53218467368488
38,2,11,1,39,79.75671731788967
17,4,11,1,20,23.58241923560138
39,2,18,3,48,112.1391423860154
0,5,14,5,10,7.438996248075458
10,4,19,0,24,18.21945722215048
27,1,17,6,29,126.21180279966669
24,3,17,4,31,45.25934513046823
49,4,11,2,62,73.58435014484
22,4,8,4,29,35.13480796954612
30,5,10,6,34,33.66525471262533
29,5,15,2,34,33.250332903092755
41,3,17,2,54,62.13699841210033
34,5,14,1,35,41.986619356202205
6,4,9,5,11,9.98262938834134
15,3,14,2,17,28.472046828843357
25,3,9,6,28,46.24522164741057
47,2,13,6,52,114.57115914302503
48,4,15,3,62,67.08026134467256
1,4,10,5,9,0.7548343135232711
0,5,19,2,7,4.996709462619895
47,4,10,3,57,67.02052391332118
11,5,15,3,24,15.855182989852105
4,4,19,4,8,13.285365651886222
36,2,20,6,44,96.92297335080268
31,4,15,5,33,34.149813473905816
8,2,17,1,21,28.60769496657236
40,4,13,0,52,60.43543064335426
34,4,8,0,35,37.939392009240414
18,1,18,0,25,95.73705793524887
47,4,10,5,55,72.57896044222066
15,2,17,3,17,45.776060970966384
2,3,14,2,6,10.547836435821315
19,2,9,6,21,41.99758039108163
23,4,16,4,33,26.10979658322103
32,5,16,3,33,38.2041252993353
23,1,9,3,36,110.74113434642756
10,5,13,0,24,20.615878257477398
48,1,19,3,49,225.6369256761235
7,1,9,5,15,39.82079502630552
35,5,8,0,37,35.41802723467682
37,4,17,0,38,53.33404823856036
39,2,16,5,43,71.96071118032671
19,5,12,6,24,19.678447115396914
34,3,19,6,41,60.281177726378644
47,1,8,6,52,232.67553194684473
24,2,14,0,29,55.49595634741282
34,3,18,5,44,66.8751074793769
24,2,10,3,34,51.41224353242484
28,4,13,4,41,50.52224931227722
17,3,11,1,23,38.43279963587841
45,5,19,5,51,51.0915886786022
17,2,10,2,26,44.71913815785343
1,5,13,6,14,9.171327299540383
34,5,15,5,44,31.19307662742461
15,2,13,0,21,39.27601788246314
40,2,13,3,49,94.91749542707142
35,1,12,1,43,147.17495576304333
32,1,12,3,39,160.6691432927032
3,3,8,5,6,5.724888073305547
32,3,11,6,41,47.387635253774135
13,3,18,3,20,25.631876275072088
20,1,15,2,30,74.46493189294365
47,5,13,0,56,56.434232171134596
19,4,14,3,31,32.457955829989814
7,4,19,2,9,15.834553795789265
6,2,18,3,19,25.81553733133017
2,1,18,1,4,16.8982691870678
16,2,16,4,24,39.01519986052343
32,4,15,4,33,38.19505975151074
47,2,11,0,58,101.99824472176715
11,1,20,4,16,50.59901870138813
50,1,14,2,51,211.5161443093666
21,1,19,2,29,105.20761360515327
21,4,10,4,27,32.06547765487897
45,1,12,6,53,168.94486309308132
29,3,10,2,30,50.21693660114214
37,3,19,3,38,77.44668336789766
37,1,14,3,46,154.49833583130024
44,3,10,2,51,67.35604974576746
50,1,15,5,56,186.24432477124094
7,4,17,1,21,25.789108851258092
26,3,20,0,29,34.034249325284385
26,4,15,2,36,35.163273096291235
33,3,13,0,36,63.65444992346571
20,5,16,4,34,21.961555996997127
29,5,9,1,37,37.4933847156212
32,4,13,3,40,41.103710847105184
27,3,18,6,41,50.14624272887501
46,5,11,2,56,45.73053169753564
32,1,14,5,45,154.4099524278373
4,2,18,1,5,19.066514070528758
47,5,8,0,53,53.8409502791237
18,5,11,2,27,23.12017924381987
3,1,20,3,12,19.807563682452248
34,5,20,3,48,44.17575683918935
48,5,18,6,62,61.6470336120774
16,5,17,2,28,27.069891167367338
43,3,11,2,44,79.70215069216808
27,5,13,1,39,48.71139340761393
29,2,17,3,40,86.15295113447407
28,3,18,6,38,54.5570313442193
45,3,13,0,49,86.12298388570986
5,4,13,3,8,13.15465431530705
34,5,11,2,47,39.27595132061723
40,2,12,6,42,95.87391043413352
36,2,20,0,40,75.50665043145821
23,4,18,2,26,34.251836916875995
28,2,19,3,41,75.30487450104802
48,3,15,1,50,86.99519494091085
45,1,10,0,49,212.9599500894672
30,3,20,1,32,48.012072265379814
34,1,13,6,40,127.89477935429089
32,2,8,6,42,83.48222589035045
20,5,17,5,26,25.826502635966392
31,1,18,6,45,156.83785719608275
22,3,13,4,27,43.90200676345936
32,3,16,5,44,52.488406892790074
2,3,20,5,7,6.39081176011317
17,3,18,0,22,38.54779031588268
24,4,15,3,32,35.75896959094245
41,2,12,5,49,103.68508945882155
30,5,14,1,40,47.50079358839591
2,4,12,5,8,9.164132482075848
39,2,10,6,48,85.33926231384801
45,1,16,6,51,215.76846734634248
23,4,18,1,32,43.21110368672191
49,4,14,3,62,71.15881336344847
31,4,15,2,43,36.917617811096434
46,4,14,4,56,75.92656407844412
21,1,14,3,35,98.70374682377265
22,3,15,1,29,40.0576618654725
1,4,15,0,14,2.896709406059645
26,2,13,5,33,71.84545957970501
41,3,20,4,45,71.88553190169168
1,1,11,3,10,11.246230367067604
25,5,12,1,30,32.59510173309872
16,1,13,4,19,72.26185721355486
39,5,18,2,44,56.807036396996104
32,2,16,5,36,78.60507851190575
8,5,12,5,20,18.538213071731764
42,4,16,5,47,61.49099011294464
47,3,16,6,55,77.1210537896304
38,3,15,4,41,68.0164754846744
28,4,17,5,42,50.91013784656698
41,3,13,3,55,78.67884200358255
25,1,8,0,26,84.43714345939138
34,4,20,1,45,59.36657079453703
49,4,12,3,63,67.88432615219992
24,3,18,0,35,40.658583494124905
23,5,10,1,30,31.615945859474557
12,2,16,6,24,35.62523710670376
6,5,11,3,19,9.642994400797898
35,1,14,2,38,179.51468852144117
44,4,13,0,52,46.12900828188451
19,4,13,0,24,33.873191033986075
0,1,12,4,6,4.043605640015546
7,2,8,2,10,22.67384362320153
45,4,10,6,55,56.50114064536376
15,5,12,1,19,27.408813050486664
13,1,9,6,24,66.12483961307794
11,4,18,4,13,24.043156992867903
50,5,9,2,62,57.66071651410359
22,1,20,5,28,78.05135744047739
14,1,11,3,18,49.47245760886877
27,1,14,5,34,105.91284204990346
33,2,8,0,38,67.5144058586356
1,1,16,4,15,10.030688514331215
31,3,19,6,34,44.701479731209275
22,3,8,0,35,40.15936746218432
21,1,15,2,24,108.59014097082697
50,4,13,0,52,79.19270003232619
24,3,8,4,35,41.727729118549895
21,5,14,3,29,24.617289983008178
21,5,9,4,23,22.51085780058407
48,4,8,1,51,78.65451042309317
41,5,15,0,51,42.68174688140228
5,4,9,4,10,8.679330579653215
14,5,16,4,17,12.095383051661384
42,1,13,3,47,197.0450482542094
36,5,8,0,42,30.149177617173173
32,1,18,0,36,124.92778454802394
7,5,15,6,8,4.515014465882915
43,5,14,1,54,48.20865002291795
43,5,19,2,53,44.360860632044954
4,1,18,2,17,32.496647780047304
38,5,8,0,40,36.14083199169434
3,5,15,6,8,0.6989621613168975
5,2,9,4,14,14.38960599758896
44,1,15,6,58,181.1936833071052
31,3,16,2,35,49.26253263585543
29,4,20,2,30,38.68741381548519
46,2,20,4,54,125.48986103061964
34,5,12,1,36,50.630606627414885
39,3,12,5,50,70.65094306477376
15,3,14,1,23,32.8194054809246
12,5,8,5,18,14.987288443818356
49,5,12,0,63,59.458239056295795
41,2,19,2,45,91.12193366598066
29,1,8,4,34,125.42132868414498
18,2,18,1,30,54.22714187743904
16,1,15,4,27,63.31159416096501
18,3,15,0,29,33.08543875924046
27,4,8,0,37,32.3286883543511
25,5,9,1,34,26.834352394127094
36,2,14,2,49,78.62193357154318
25,3,14,6,33,57.40129895495944
22,2,19,6,34,59.018735515051084
8,1,16,4,19,30.64405068524427
11,5,10,2,18,9.77825955730287
0,1,9,6,6,0.0
0,1,17,1,1,9.883889550887108
46,1,15,0,54,180.30137111312854
33,3,18,0,35,52.91267124000345
31,5,14,5,38,44.9862311260311
47,4,10,6,54,55.540543538198506
24,2,18,1,34,75.37177215006092
39,1,10,5,53,165.23359071511103
44,5,14,0,57,48.36336608322442
0,2,20,3,9,0.0
15,5,19,0,25,26.055629158017094
38,2,18,3,43,92.8423501023787
4,5,12,6,7,10.304415456595503
21,4,16,3,35,25.24797495452943
28,5,17,3,32,40.88831783434747
2,5,14,5,15,11.408854661524689
11,1,8,6,20,47.61410293656464
25,1,8,2,36,117.0480060930904
15,1,13,1,19,72.86887756065974
50,5,12,1,51,51.078266028726226
36,4,12,1,38,61.03450733335086
21,2,18,5,28,55.47313257132122
28,1,18,5,37,155.8367170039845
13,3,20,6,25,22.0251527107829
27,5,19,3,35,35.60045426704885
4,4,15,3,16,8.981095753036348
46,4,18,3,47,61.06669111119136
48,1,15,0,52,234.5703760797911
29,1,16,6,43,131.3385965725985
45,3,18,5,54,86.50722546439013
4,3,18,4,15,18.30459345905379
11,1,11,4,15,58.68080011799825
15,2,12,0,19,46.753180179279454
25,1,19,6,33,118.06421234471117
25,1,14,4,36,133.05171714970672
47,4,10,4,53,54.05214282738135
20,1,19,5,23,84.35110828428985
38,1,13,6,46,183.90374802947883
35,1,10,2,40,179.1025206204887
32,2,11,4,34,71.40254970120888
29,4,17,0,38,35.07198635922659
36,5,15,3,48,34.78975272143782
22,5,17,2,34,36.640736924581134
9,5,18,4,23,16.93665053526207
4,5,11,6,15,4.1060410143829245
35,4,18,6,44,56.60401114011977
33,1,19,0,41,121.9568953680473
30,5,20,1,32,38.00437647282397
9,1,19,1,10,50.58384710433317
18,5,11,5,32,23.582108663091834
31,2,14,5,44,75.75369074729508
0,1,10,2,11,3.8103998854564356
4,4,19,5,15,11.502475707269337
44,2,10,5,54,103.62314214439701
3,2,18,6,16,12.433062685907856
15,4,8,1,20,26.021778709506833
23,2,14,0,35,72.65702737298331
15,1,18,5,16,83.3891681115006
1,3,11,1,4,5.565124675481851
48,3,14,1,60,83.39521258348861
27,5,9,4,29,29.52960463762951
31,5,12,0,41,34.99862758388955
26,1,19,0,29,115.78924103342102
19,4,14,0,21,24.156028498095445
23,1,19,6,32,89.89399195162456
11,5,19,5,24,21.572194708226284
49,2,16,5,61,119.29780292905889
34,1,17,3,45,155.95793062734575
32,1,11,0,44,114.04536108882516
32,4,13,4,46,52.026155717557984
50,5,10,1,58,62.39153506571747
42,1,9,1,47,215.23342891693497
36,2,17,1,38,107.88996852802318
11,2,19,0,23,30.24717466887712
2,3,18,0,10,12.604027418965792
0,5,9,6,1,0.0
32,2,12,6,42,86.06551266495632
39,4,10,2,41,50.900121843024955
9,5,9,6,10,8.601414745692379
42,2,9,5,46,83.89321332469831
43,1,10,2,45,154.68461418083845
28,5,8,2,33,36.00095485459818
12,2,18,3,18,26.548914500493066
11,1,20,2,20,42.5759713790958
30,3,15,6,32,53.929012185599284
45,5,16,4,55,46.57088682211225
1,5,19,0,2,2.5905770876644487
50,2,8,5,52,94.25323136382386
49,3,20,3,63,86.69911619135117
34,4,12,4,39,52.06722046915208
22,2,15,1,23,54.16981643479772
16,2,20,6,27,32.887102475290405
25,4,9,2,37,33.180655340119955
7,4,8,2,17,10.171848550931877
28,4,12,6,34,38.39864835987519
25,4,8,0,34,33.87043832622379
9,4,13,4,13,18.640057875993858
25,1,16,4,37,88.54155970518973
33,1,15,5,36,148.31591346064317
50,4,19,5,53,77.90173099016431
40,3,13,5,53,74.5789347713008
6,3,11,5,10,10.918279557065764
3,4,14,2,17,14.652096407701196
49,1,19,2,60,246.82500012136975
44,3,13,4,51,62.708545016841306
10,1,14,6,19,46.884586496410385
28,2,9,4,41,68.42827303417768
35,1,14,1,47,170.62586994737524
24,4,17,2,34,41.51677029919723
20,5,11,2,21,15.890172013552478
35,4,12,6,42,47.44045546346538
9,2,18,6,23,30.685368816358427
36,1,14,4,45,163.9326745057805
8,3,17,5,9,17.727724242475755
23,4,18,5,28,30.102152705627205
34,3,9,0,47,52.4821977512997
48,1,8,4,62,188.108248697396
34,2,12,2,41,80.0996339435641
47,4,17,1,49,63.560170765541635
35,3,8,2,37,58.01074493411898
17,4,20,3,20,24.723643206011932
48,4,13,6,58,58.019121106702514
38,3,9,6,52,72.05997902802777
31,2,20,5,42,64.23910714831264
23,4,9,2,30,34.598457785339036
22,2,11,2,30,59.156550885341744
31,2,17,2,32,75.59960298771362
36,1,9,6,40,147.84964916446611
11,3,16,4,22,20.936063208270728
48,1,19,0,55,204.99860647112257
12,5,10,6,13,8.348662764216282
22,1,20,2,24,107.29827742275619
24,4,15,2,25,39.236522249350536
34,4,14,2,43,41.68834502145245
40,4,18,2,41,55.600673381608175
29,5,18,6,41,41.39494370310452
16,2,14,2,28,47.10834779300595
48,4,11,1,59,62.71492657955608
19,1,11,5,25,84.3970233295102
47,2,19,4,54,140.32598434839346
24,1,8,4,35,106.04932822343616
21,1,15,2,29,80.4738979055793
12,4,8,5,19,18.293408247440787
18,1,20,6,29,92.41673580309676
48,5,11,1,62,60.28515016043051
35,2,10,3,39,67.04064608866224
11,4,20,3,22,16.323728340912957
40,4,8,1,54,52.82182595442892
18,1,14,6,20,77.93872689063986
11,1,14,5,22,61.11976765815309
8,3,9,3,13,17.089767192225327
6,3,17,4,7,12.322839560350204
27,4,12,6,39,37.05251335928016
13,4,15,3,14,14.313041607111971
30,1,8,5,40,125.48755688594954
18,5,20,2,22,15.3989026919591
46,5,16,5,52,44.39442699744615
15,1,14,6,29,63.87404916042846
4,3,14,0,14,12.697633336835388
34,3,19,1,47,66.97365634735792
11,5,9,0,18,11.20677464091054
24,4,15,5,28,26.903319091424432
20,1,18,6,23,84.07417552551192
35,4,19,1,36,55.86891278286294
22,3,10,1,31,44.85612688843119
15,5,20,1,24,21.128454476441803
38,4,17,6,40,43.38519505672018
44,3,14,5,56,87.63423649585373
41,3,10,4,49,79.69598251505498
38,3,13,4,47,68.84850442660671
13,4,20,1,19,17.477815599362277
30,2,8,2,32,74.92401243614587
4,5,11,3,17,7.0173305968571285
34,3,16,5,45,65.64464166865874
22,4,14,2,34,32.4266373186839
28,1,14,4,31,108.62350886312376
42,5,11,5,54,51.00200726707992
10,1,17,5,24,48.405028457059224
17,1,18,1,26,102.56154701360654
46,4,8,4,51,63.14029877620948
11,2,8,3,22,28.542204154609806
8,4,18,0,12,15.37231556299014
9,4,10,0,22,14.588146995900027
43,5,20,2,49,45.74372542264747
16,4,19,5,18,28.67541840430692
37,5,14,6,45,50.441858562446356
6,3,14,1,17,21.77552597012645
45,5,12,6,52,49.41533692890353
12,4,16,6,13,13.182270969440589
39,3,18,4,48,68.00717112725374
41,3,9,2,48,74.51582660996128
8,2,16,2,22,21.934239029974307
49,4,16,2,51,53.855439595223814
26,1,13,3,28,100.86412778489674
1,4,11,6,4,2.4822360572598368
4,1,12,6,14,23.290039519937547
28,2,13,5,39,75.94499669954467
36,4,11,6,50,53.938586438306245
37,2,16,2,50,76.40512698772007
18,1,18,1,22,90.64009750540022
7,5,9,3,17,9.672246222424388
47,4,19,0,55,65.66759521160898
44,3,15,0,58,65.59330924990417
0,3,16,0,13,0.0
21,2,20,5,23,50.88366550187491
16,5,11,6,29,18.87069965538289
6,3,16,6,11,10.008503432198406
24,3,20,1,35,40.15427426514123
44,4,20,5,51,68.46101618335747
3,3,9,1,4,8.406120768673588
35,1,10,3,42,175.04827629424602
5,2,17,0,10,16.825095316927335
30,3,12,3,33,50.390102237003994
18,4,11,0,28,24.450909069786242
43,1,18,0,45,224.13658672629379
38,3,20,5,48,78.48191103612606
26,2,10,0,34,60.31208284025707
9,2,11,5,13,25.78361817510622
25,2,16,0,37,61.70216328921206
18,3,16,6,30,26.47854551206663
38,1,12,3,40,204.95721599341041
2,5,14,5,12,9.161891985153442
44,2,15,6,48,119.43661583807776
12,1,20,1,15,49.83269940939751
49,4,9,0,59,67.75715825845941
27,4,20,2,37,41.85437662170203
19,1,16,4,30,78.6061489310061
27,4,16,1,28,34.884564040413736
7,4,9,6,16,6.470216636825626
40,2,13,1,54,92.10659505898786
38,3,11,3,42,53.478202162082844
0,3,18,4,11,12.234518257755274
2,3,8,3,5,0.0
12,3,18,1,24,34.70751370053664
27,1,20,0,31,127.72465201169108
48,2,12,5,55,141.1391943857468
24,1,19,5,34,104.90742557057908
32,4,10,5,33,41.302057825779464
37,2,8,0,44,62.05101530773179
5,5,9,3,8,6.291123350358871
43,3,14,1,54,74.19133715605498
44,4,8,1,49,54.58859668846467
31,3,10,6,41,55.728199794339744
44,3,18,5,45,76.44251446635911
46,3,8,6,47,66.62822155896092
20,5,8,1,33,36.45437572872942
15,4,19,2,17,24.842497245343587
20,3,20,5,29,37.04869921911516
10,3,15,0,22,18.890351284123472
36,2,13,3,46,102.92335912636906
35,3,11,5,49,51.93262773049234
34,2,15,3,43,85.43478310828381
18,4,14,0,22,23.26149642202245
19,4,16,3,25,25.246144281683115
17,4,8,3,25,24.67882073046002
46,2,17,3,59,105.91425784496538
40,5,12,6,41,47.06976088195488
48,5,13,6,50,52.02184124818667
13,3,13,3,16,29.242698940452843
14,4,17,5,28,21.51395599010134
30,1,20,6,43,118.60706634472598
0,3,14,3,3,6.643400791008767
2,5,12,1,12,15.99627764586996
15,5,18,2,22,27.97579201827979
22,4,12,6,36,32.35080590066284
10,2,8,4,19,27.93269346271376
11,3,20,5,17,24.91246560669881
9,2,19,5,16,26.53078739220507
31,5,18,1,40,43.25212370660487
15,4,17,1,25,35.78735238097513
7,5,12,5,9,9.386707723888174
37,4,17,1,44,58.45493571971747
11,1,8,1,16,50.857146412120436
23,2,17,3,25,54.20795033058372
27,3,20,4,37,48.553305862862935
7,4,9,4,16,11.269517785162552
27,1,8,6,32,96.07080599715695
35,1,15,3,49,133.27455750346533
25,2,15,5,26,56.25245872992917
7,4,15,3,12,11.044137221116918
49,3,20,4,52,85.40682398796537
27,3,17,1,38,50.473482934837506
27,3,17,6,34,45.295948966118345
36,5,8,3,40,37.39802503254304
40,5,11,1,42,55.13731189929993
35,4,19,1,49,59.68265469208019
26,3,18,5,27,39.42122811499468
16,1,8,3,29,87.12650334631915
8,3,11,3,20,20.041281942961763
32,4,14,5,35,49.236234245016725
19,3,17,4,31,35.11132137534584
12,2,14,3,21,33.347134123859284
27,3,8,0,31,47.063496487612305
47,1,17,5,59,175.53357151643505
28,4,9,1,39,36.641189468784255
12,4,18,1,26,32.685772229925455
45,1,13,5,49,185.82306250711318
34,4,18,2,38,56.828665204321915
5,3,20,1,10,12.95586718171896
